OrderID,CustomerID,OrderDate,Channel
O001,C001,2023-06-01,Online
O002,C002,2023-06-02,Offline
O003,C003,2023-06-03,Online
O004,C004,2023-06-04,Online
O005,C005,2023-06-05,Offline
O006,C006,2023-06-06,Online
O007,C007,2023-06-07,Offline
O008,C008,2023-06-08,Online
O009,C009,2023-06-09,Offline
O010,C010,2023-06-10,Online
O011,C011,2023-07-01,Online
O012,C012,2023-07-02,Offline
O013,C013,2023-07-03,Online
O014,C014,2023-07-04,Offline
O015,C015,2023-07-05,Online
O016,C016,2023-07-06,Offline
O017,C017,2023-07-07,Online
O018,C018,2023-07-08,Offline
O019,C019,2023-07-09,Online
O020,C020,2023-07-10,Offline
